location-long,location-lat,individual-local-identifier,year,month
-120.237,34.207,1995CA-Bmu-00841,1995,9
-120.20999999999998,34.103,1995CA-Bmu-00841,1995,9
-120.449,34.146,1995CA-Bmu-00841,1995,9
-120.30700000000002,34.204,1995CA-Bmu-00841,1995,9
-120.453,34.228,1995CA-Bmu-00841,1995,9
-119.719,33.799,1995CA-Bmu-00841,1995,9
-120.336,34.223,1995CA-Bmu-00841,1995,9
-120.39600000000002,34.287,1995CA-Bmu-00841,1995,9
-120.29399999999998,34.127,1995CA-Bmu-00841,1995,9
-120.29500000000002,34.156,1995CA-Bmu-00841,1995,9
-120.2,34.115,1995CA-Bmu-00841,1995,9
-120.175,34.134,1995CA-Bmu-00841,1995,9
-120.187,34.132,1995CA-Bmu-00841,1995,9
-119.986,34.12,1995CA-Bmu-00841,1995,9
-119.882,34.18,1995CA-Bmu-00841,1995,9
-119.922,34.098,1995CA-Bmu-00841,1995,9
-120.478,34.083,1995CA-Bmu-00841,1995,9
-120.305,34.008,1995CA-Bmu-00841,1995,9
-120.314,34.156,1995CA-Bmu-00841,1995,9
-120.39600000000002,34.186,1995CA-Bmu-00841,1995,9
-120.31900000000002,34.153,1995CA-Bmu-00841,1995,9
-120.27100000000002,34.141,1995CA-Bmu-00841,1995,9
-120.27100000000002,34.146,1995CA-Bmu-00841,1995,9
-120.296,34.164,1995CA-Bmu-00841,1995,9
-120.304,34.09,1995CA-Bmu-00841,1995,9
-119.91500000000002,33.961,1995CA-Bmu-00841,1995,9
-120.328,34.142,1995CA-Bmu-00841,1995,9
-120.264,34.107,1995CA-Bmu-00841,1995,9
-120.566,34.383,1995CA-Bmu-00841,1995,9
-120.554,34.284,1995CA-Bmu-00841,1995,9
-120.503,34.242,1995CA-Bmu-00841,1995,9
-120.53300000000002,34.274,1995CA-Bmu-00841,1995,9
-120.348,34.254,1995CA-Bmu-00841,1995,9
-119.914,34.136,1995CA-Bmu-00841,1995,9
-120.114,34.145,1995CA-Bmu-00841,1995,9
-120.15699999999998,34.141,1995CA-Bmu-00841,1995,9
-120.297,34.318,1995CA-Bmu-00841,1995,9
-120.40699999999998,34.126,1995CA-Bmu-00841,1995,9
-120.773,34.212,1995CA-Bmu-00841,1995,9
-120.16899999999998,34.096,1995CA-Bmu-00841,1995,9
-119.925,34.117,1995CA-Bmu-00841,1995,9
-120.547,33.501,1995CA-Bmu-00841,1995,9
-120.94,32.401,1995CA-Bmu-00841,1995,9
-120.079,34.142,1995CA-Bmu-00845,1995,9
-120.274,34.419,1995CA-Bmu-00845,1995,9
-119.66500000000002,34.208,1995CA-Bmu-00845,1995,9
-120.272,34.257,1995CA-Bmu-00845,1995,9
-121.255,33.535,1995CA-Bmu-00845,1995,9
-121.285,33.026,1995CA-Bmu-00845,1995,9
-120.638,32.506,1995CA-Bmu-00845,1995,9
-122.882,32.015,1995CA-Bmu-00845,1995,9
-120.163,32.657,1995CA-Bmu-02082,1995,10
-120.39,32.997,1995CA-Bmu-02082,1995,10
-119.97199999999998,33.03,1995CA-Bmu-02082,1995,10
-120.096,33.482,1995CA-Bmu-02082,1995,10
-119.844,34.154,1995CA-Bmu-02083,1995,8
-121.054,34.319,1995CA-Bmu-02083,1995,8
-120.50400000000002,34.351,1995CA-Bmu-02083,1995,8
-120.586,33.821,1995CA-Bmu-02083,1995,8
-125.81799999999998,32.172,1995CA-Bmu-02083,1995,8
-119.539,33.361,1995CA-Bmu-04172,1995,8
-122.017,33.025,1995CA-Bmu-04172,1995,8
-119.985,33.327,1995CA-Bmu-04172,1995,8
-119.588,33.444,1995CA-Bmu-04172,1995,8
-119.634,33.458,1995CA-Bmu-04172,1995,8
-120.21800000000002,33.59,1995CA-Bmu-04172,1995,8
-119.375,33.482,1995CA-Bmu-04172,1995,8
-119.52100000000002,33.309,1995CA-Bmu-04172,1995,8
-118.7,31.538,1995CA-Bmu-04172,1995,8
-119.817,33.434,1995CA-Bmu-04172,1995,8
-119.478,33.531,1995CA-Bmu-04172,1995,8
-118.627,33.099,1995CA-Bmu-04172,1995,8
-119.04000000000002,33.711,1995CA-Bmu-04172,1995,8
-120.211,33.128,1995CA-Bmu-04172,1995,8
-118.89600000000002,33.183,1995CA-Bmu-04172,1995,8
-119.52100000000002,33.399,1995CA-Bmu-04172,1995,8
-121.19,33.428,1995CA-Bmu-04172,1995,8
-122.262,32.14,1995CA-Bmu-04172,1995,9
-120.612,29.616,1995CA-Bmu-04172,1995,9
-121.159,33.166,1995CA-Bmu-04172,1995,9
-120.6,33.025,1995CA-Bmu-04172,1995,9
-123.275,34.7,1995CA-Bmu-04172,1995,9
-119.538,32.523,1995CA-Bmu-04172,1995,9
-119.369,32.826,1995CA-Bmu-04172,1995,9
-127.122,27.359,1995CA-Bmu-04172,1995,9
-121.787,32.738,1995CA-Bmu-04172,1995,9
-121.072,31.902,1995CA-Bmu-04172,1995,9
-120.014,31.971,1995CA-Bmu-04172,1995,9
-119.313,32.188,1995CA-Bmu-04172,1995,9
-122.09300000000002,33.361,1995CA-Bmu-04173,1995,9
-120.199,34.124,1995CA-Bmu-04173,1995,9
-120.096,34.425,1995CA-Bmu-04173,1995,9
-120.063,34.349,1995CA-Bmu-04173,1995,9
-120.168,34.169,1995CA-Bmu-04173,1995,9
-120.74599999999998,33.678,1995CA-Bmu-04173,1995,9
-119.70600000000002,33.282,1995CA-Bmu-04173,1995,9
-121.985,34.242,1995CA-Bmu-04173,1995,9
-120.452,34.023,1995CA-Bmu-04173,1995,9
-120.44,33.863,1995CA-Bmu-04173,1995,9
-122.091,35.397,1995CA-Bmu-04173,1995,9
-120.94299999999998,33.91,1995CA-Bmu-04173,1995,9
-124.916,32.602,1995CA-Bmu-04173,1995,9
-122.231,34.6,1995CA-Bmu-04173,1995,9
-122.469,34.259,1995CA-Bmu-04173,1995,9
-123.31799999999998,34.706,1995CA-Bmu-04173,1995,9
-123.548,34.186,1995CA-Bmu-04173,1995,9
-123.106,34.6,1995CA-Bmu-04173,1995,9
-123.43099999999998,34.722,1995CA-Bmu-04173,1995,9
-123.199,34.796,1995CA-Bmu-04173,1995,9
-122.837,34.691,1995CA-Bmu-04173,1995,9
-123.049,34.923,1995CA-Bmu-04173,1995,9
-123.253,35.048,1995CA-Bmu-04173,1995,9
-122.671,34.831,1995CA-Bmu-04173,1995,9
-122.118,34.936,1995CA-Bmu-04173,1995,9
-122.423,34.942,1995CA-Bmu-04173,1995,9
-122.091,34.791,1995CA-Bmu-04173,1995,9
-123.61700000000002,35.648,1995CA-Bmu-04173,1995,9
-122.274,33.874,1995CA-Bmu-04173,1995,9
-121.685,33.758,1995CA-Bmu-04173,1995,9
-120.906,34.133,1995CA-Bmu-04173,1995,9
-122.926,32.883,1995CA-Bmu-04173,1995,9
-120.267,33.534,1995CA-Bmu-04173,1995,9
-119.829,33.273,1995CA-Bmu-04173,1995,9
-119.268,33.263,1995CA-Bmu-04173,1995,9
-119.275,33.032,1995CA-Bmu-04173,1995,9
-119.38299999999998,32.98,1995CA-Bmu-04173,1995,9
-119.204,32.77,1995CA-Bmu-04173,1995,9
-119.04500000000002,32.719,1995CA-Bmu-04173,1995,9
-119.098,32.619,1995CA-Bmu-04173,1995,9
-118.452,32.07,1995CA-Bmu-04173,1995,9
-118.124,31.954,1995CA-Bmu-04173,1995,9
-118.064,31.759,1995CA-Bmu-04173,1995,9
-117.845,31.729,1995CA-Bmu-04173,1995,9
-117.628,31.519,1995CA-Bmu-04173,1995,9
-117.372,31.514,1995CA-Bmu-04173,1995,10
-117.39600000000002,31.55,1995CA-Bmu-04173,1995,10
-115.228,28.885,1995CA-Bmu-04173,1995,10
-116.625,30.704,1995CA-Bmu-04173,1995,10
-116.689,30.326,1995CA-Bmu-04173,1995,10
-116.796,29.687,1995CA-Bmu-04173,1995,10
-116.739,29.495,1995CA-Bmu-04173,1995,10
